Quantity,Name,Price,Color,Card Type,CMC,Edition (CODE),Mana Value,Scryfall ID
2x,Sungold Barrage,$0.14,White,Instant,3,(MID),{2}{W},ee507688-9890-47c4-bb04-43c51eb48e22
2x,Alley Assailant,$0.25,Black,Creature — Vampire Rogue,3,(MKM),{2}{B},edf238c9-61de-4f3a-b82f-05af46e5e81b
2x,Demand Answers,$0.42,Red,Instant,2,(MKM),{1}{R},eca092fc-7c67-4a73-989e-5297bbaaea76
2x,Goblin Fireleaper,$0.14,Red,Creature — Goblin Warrior,2,(LTR),{1}{R},ec120dae-8c40-4053-9341-1f7774464634
2x,Moonrager's Slash,$0.15,Red,Instant,3,(MID),{2}{R},eb4f266b-c41c-4047-ae6f-b2226c7459e8
2x,Silver Bolt,$0.11,,Artifact,1,(MID),{1},eb2c05a8-db56-4397-9b6c-5accb2d3f81f
2x,"Troyan, Gutsy Explorer",$0.18,Blue/Green,Legendary Creature — Vedalken Scout,3,(WOE),{1}{G}{U},eadd2a1a-93a0-4257-897d-1aaee279449f
2x,Hatching Plans,$0.15,Blue,Enchantment,2,(WOT),{1}{U},e8ebcbfb-1522-4ff5-b23a-f3ea9e08ad9b
2x,Mistway Spy,$0.25,Blue,Creature — Merfolk Detective,1,(MKM),{U},e8578839-046f-4afd-a0e7-4737ded9e6eb
2x,"Neva, Stalked by Nightmares",$0.18,White/Black,Legendary Creature — Human Noble,4,(WOE),{2}{W}{B},e6f925ab-ade7-4da8-a791-185e098d18f2
2x,Heirloom Mirror // Inherited Fiend,$0.20,Black,Artifact,2,(MID),{1}{B},e6dd05f0-a3c0-4bd6-a1d1-a74540623093
2x,Behind the Mask,$0.25,Blue,Instant,1,(MKM),{U},e522b043-fbd8-48a4-9f20-39e2a66a35ec
2x,Bitter Downfall,$0.15,Black,Instant,4,(LTR),{3}{B},e4b83aa1-33ce-4b8d-ae5a-72f64eef5f09
2x,Purple Worm,$0.15,Green,Creature — Worm,7,(AFR),{5}{G}{G},e419d58b-6241-4892-9080-f6894ac7ba89
2x,Vanquish the Horde,$4.25,White,Sorcery,8,(MID),{6}{W}{W},e264615c-eb99-4cb3-844a-2b4a94ba5203
2x,Impact Tremors,$0.46,Red,Enchantment,2,(WOT),{1}{R},e23cf8e0-0983-4495-ad3e-8b0c3e706115
2x,Gallant Pie-Wielder,$0.15,White,Creature — Dwarf Knight,3,(WOE),{2}{W},e053d330-d0a2-4468-afba-42bf165b8fbf
2x,Virtue of Knowledge // Vantress Visions,$4.88,Blue,Enchantment // Instant — Adventure,5,(WOE),{4}{U} // {1}{U},df606cf5-67dc-46f4-8c79-1d2f1d054391
2x,Defenestrate,$0.14,Black,Instant,3,(MID),{2}{B},df3abdcc-83a8-45c3-9bfd-23f929705018
2x,Frodo Baggins,$0.15,White/Green,Legendary Creature — Halfling Scout,2,(LTR),{G}{W},de1c0399-9db8-4901-b72e-0010eb9b92b0
2x,Crimestopper Sprite,$0.25,Blue,Creature — Faerie Detective,3,(MKM),{2}{U},dc4ac597-38f0-48b5-ac2d-dfb0b169f834
2x,"Grishnakh, Brash Instigator",$0.21,Red,Legendary Creature — Goblin Soldier,3,(LTR),{2}{R},dbb4187d-5706-48cd-bbaa-f5cd80bfff2b
2x,Grasp of Fate,$0.25,White,Enchantment,3,(WOT),{1}{W}{W},d983b297-e341-40fa-ba9b-b9f87eb25057
2x,Shambling Ghast,$0.38,Black,Creature — Zombie,1,(AFR),{B},d96198a7-dd19-4940-bf8f-23135011fc84
2x,Ritual of Hope,$0.16,White,Instant,2,(MID),{1}{W},d8293903-4604-4516-866e-27a306b6fd7c
2x,Slumbering Keepguard,$0.15,White,Creature — Human Knight,1,(WOE),{W},d7f41ae2-ebc6-439f-95af-c34818a3f4e6
2x,"Ash, Party Crasher",$0.15,White/Red,Legendary Creature — Human Peasant,2,(WOE),{R}{W},d51e6610-25b6-4d8e-92d7-c50a2ff844ff
2x,Slice from the Shadows,$0.25,Black,Instant,1,(MKM),{X}{B},d4e49c72-0fa2-4271-aabd-38a3e2b4779c
2x,Zombie Ogre,$0.15,Black,Creature — Zombie Ogre,5,(AFR),{3}{B}{B},d4dbed36-190c-4748-b282-409a2fb5d134
2x,Errand-Rider of Gondor,$0.11,White,Creature — Human Soldier,3,(LTR),{2}{W},d3f990e7-54a3-4893-8510-645b2065447b
2x,Wandering Troubadour,$0.20,Green,Creature — Dragon Bard,4,(AFR),{3}{G},d3c7f123-31c8-469b-85e5-d20c4d21b2a0
2x,Enraged Huorn,$0.24,Green,Creature — Treefolk,5,(LTR),{4}{G},d23185cd-380c-4de6-bfc9-e8addf54af3a
2x,Mushroom Watchdogs,$0.11,Green,Creature — Dog,2,(LTR),{1}{G},d15fd66d-fa7e-411d-9014-a56caa879d93
2x,Not Dead After All,$0.61,Black,Instant,1,(WOE),{B},d01a2b68-efe6-4027-846d-db7b19d9eef6
2x,Crowd-Control Warden,$0.25,White/Green,Creature — Centaur Soldier,5,(MKM),{3}{G}{W},cdf0578f-4966-4ecd-81e1-83ae13126f13
2x,Boundary Lands Ranger,$0.15,Red,Creature — Human Ranger,2,(WOE),{1}{R},ccdcbb1d-702e-4832-8eed-7ed3deffefe3
2x,Blink Dog,$0.20,White,Creature — Dog,3,(AFR),{2}{W},cc040492-7fb7-4fdb-aafe-8179e5f2b28c
2x,Evolving Wilds,$0.25,Land,Land,0,(MID),,cb471f90-46f2-4037-87fc-f523fc9d004f
2x,Mysterious Tome // Chilling Chronicle,$0.19,Blue,Artifact,3,(MID),{2}{U},caa57b63-bb11-45e8-8795-de92ca61f4f1
2x,Contortionist Troupe,$0.19,Green,Creature — Human,1,(MID),{X}{G},c81da535-04e4-4dc8-9e12-7b417aba2f39
2x,Magic Missile,$0.20,Red,Sorcery,3,(AFR),{1}{R}{R},c814ac58-8826-48cd-8209-4af6803866e3
2x,Tasha's Hideous Laughter,$4.25,Blue,Sorcery,3,(AFR),{1}{U}{U},c4932113-904f-427a-9566-509cc008f3ef
2x,"Gollum, Patient Plotter",$0.21,Black,Legendary Creature — Halfling Horror,2,(LTR),{1}{B},c3ff1c7b-8f6f-4ef9-8246-af63e532eb43
2x,"Now for Wrath, Now for Ruin!",$0.12,White,Sorcery,4,(LTR),{3}{W},c2e2c80d-7581-46ba-8237-7886b91c19b3
2x,Celestial Unicorn,$0.20,White,Creature — Unicorn,3,(AFR),{2}{W},c2bba29a-6d7c-4f53-a4ad-e27a33fe19cc
2x,Nimrodel Watcher,$0.13,Blue,Creature — Elf Scout,2,(LTR),{1}{U},c253ee40-41c9-4cb5-a1a3-94b0aaed09d4
2x,Captain of Umbar,$0.10,Blue,Creature — Human Pirate,3,(LTR),{2}{U},c222577d-a3c7-41d9-b11b-62065bdb98ef
2x,Mirrormere Guardian,$0.20,Green,Creature — Dwarf Soldier,3,(LTR),{2}{G},c17c9f25-d373-4ce4-8e1f-7738dd1792e5
2x,Defend the Celestus,$0.19,Green,Instant,4,(MID),{2}{G}{G},c11e4420-06f3-48e2-91d1-a9199483add2
2x,Seasoned Consultant,$0.25,White,Creature — Human Detective,2,(MKM),{1}{W},c0ebfe5d-8819-495d-bf72-b9c28c6fd23e
2x,Duress,$0.15,Black,Sorcery,1,(MID),{B},c0a72721-2a4a-4d48-a7b0-2370b90b8619
2x,Commercial District,$3.00,Land,Land — Mountain Forest,0,(MKM),,bf220c06-3cce-4bdd-aa58-83940c223e9c
2x,Soothing of Smeagol,$0.15,Blue,Instant,2,(LTR),{1}{U},be6400e8-7f99-4005-9a92-ffbc359d3871
2x,Soul-Guide Gryff,$0.12,White,Creature — Hippogriff Spirit,5,(MID),{4}{W},be1031bb-af9f-4446-8b36-b0bb9aa5997a
2x,Sam's Desperate Rescue,$0.19,Black,Sorcery,1,(LTR),{B},bdd4d735-8cda-47c1-865b-48b51ac8f666
2x,Stew the Coneys,$0.15,Green,Instant,3,(LTR),{2}{G},bcc7c41c-f416-457e-91ba-1f338f45eeac
2x,Embereth Veteran,$0.15,Red,Creature — Human Knight,1,(WOE),{R},bc7130b8-3168-421f-912a-46ed5b769807
2x,Stone of Erech,$0.40,,Legendary Artifact,1,(LTR),{1},bc02e193-df33-4eb1-adc1-b51ee931218a
2x,Hithlain Knots,$0.15,Blue,Instant,2,(LTR),{1}{U},bbcc27e7-cbe4-45c2-b157-7251a10e7ba4
2x,Stormkeld Vanguard // Bear Down,$0.20,Green,Creature — Giant Warrior // Sorcery — Adventure,6,(WOE),{4}{G}{G} // {1}{G},bacb1fe5-0adf-461f-b698-9d09a8728c63
2x,The Torment of Gollum,$0.12,Black,Sorcery,4,(LTR),{3}{B},ba2c8c25-1fa9-4cc4-a378-5eccc25bacf0
2x,Bar the Gate,$0.15,Blue,Instant,3,(AFR),{2}{U},b9b1e53f-1384-4860-9944-e68922afc65c
2x,Great Hall of the Citadel,$0.30,Land,Land,0,(LTR),,b97f2ed8-d8e3-40a6-bcf8-a36cfd81f685
2x,Bladestitched Skaab,$0.25,Blue/Black,Creature — Zombie Soldier,2,(MID),{U}{B},b8a73f77-aab5-47e3-bfc1-97f6374f40fc
2x,"Johann, Apprentice Sorcerer",$0.15,Blue/Red,Legendary Creature — Human Wizard,4,(WOE),{2}{U}{R},b88a762d-19ed-451d-a3a9-b3e7eea40f67
2x,Dreadful as the Storm,$0.12,Blue,Instant,3,(LTR),{2}{U},b6e0b4ff-85b5-485f-a78f-1a58bb343238
2x,Lunar Frenzy,$0.20,Red,Instant,1,(MID),{X}{R},b5fb18c4-1386-4ea0-97c1-4bdd1e7eb5a6
2x,Inherited Envelope,$0.20,,Artifact,3,(LTR),{3},b590d028-ea6a-4550-b5e2-ba328a81bbc0
2x,Eccentric Farmer,$0.15,Green,Creature — Human Peasant,3,(MID),{2}{G},b5339f6e-9ed7-4734-91c9-c2ed59ca1052
2x,Torch the Tower,$0.16,Red,Instant,1,(WOE),{R},b3d6027c-813f-46df-95b4-e2e305a67620
2x,Shady Traveler // Stalking Predator,$0.20,Black,Creature — Human Werewolf,3,(MID),{2}{B},b1463082-62bb-4aa6-8763-b865ef1fdb68
2x,Mimic,$0.15,,Artifact — Treasure,2,(AFR),{2},b059c316-2be1-4f66-9888-d31714280a5e
2x,Cathartic Pyre,$0.35,Red,Instant,2,(MID),{1}{R},b045c28a-39f9-4cd9-8f3a-a626b697f409
2x,Proft's Eidetic Memory,$1.40,Blue,Legendary Enchantment,2,(MKM),{1}{U},af5b29b3-974c-4200-8df8-b072c11e1600
2x,Essence of Antiquity,$0.25,White,Artifact Creature — Golem,5,(MKM),{3}{W}{W},aee2945d-bf6d-4328-a482-df24c2973b56
2x,Plate Armor,$0.25,White,Artifact — Equipment,3,(AFR),{2}{W},ad447e50-cfb1-40df-ae01-a65c46f2f572
2x,Hostile Hostel // Creeping Inn,$0.89,Land,Land,0,(MID),,ac83c27f-55d6-4e5a-93a4-febb0c183289
2x,Delver of Secrets // Insectile Aberration,$0.39,Blue,Creature — Human Wizard,1,(MID),{U},abff6c81-65a4-48fa-ba8f-580f87b0344a
2x,Macabre Reconstruction,$0.25,Black,Sorcery,4,(MKM),{3}{B},abb6184c-e3d0-4275-b25b-95e4a64b26f3
2x,Mordor Muster,$0.15,Black,Sorcery,2,(LTR),{1}{B},aae2f15a-0629-453e-992c-a199af194a3c
2x,Black Dragon,$0.20,Black,Creature — Dragon,7,(AFR),{5}{B}{B},aaca283a-39f1-4ae7-98fb-7821a927ef86
2x,Shortcut to Mushrooms,$0.24,Green,Enchantment,2,(LTR),{1}{G},aab671b7-afb3-4d99-8f6d-3240f31508d7
2x,Pelargir Survivor,$0.13,Blue,Creature — Human Peasant,2,(LTR),{1}{U},aa59141a-4645-4316-b714-bbf2c139786e
2x,Hearth Elemental // Stoke Genius,$0.19,Red,Creature — Elemental // Sorcery — Adventure,6,(WOE),{5}{R} // {1}{R},a8f5f102-cc75-4cee-a117-4bdaaf86c2e9
2x,Merfolk Coralsmith,$0.10,Blue,Creature — Merfolk,3,(WOE),{2}{U},a7f6a79c-aa2f-47d2-a929-1606a61f9341
2x,Yuan-Ti Fang-Blade,$0.15,Black,Creature — Snake Rogue,3,(AFR),{2}{B},a7e0e09c-ed43-4a37-85f2-c60bdfdb2624
2x,"Elrond, Lord of Rivendell",$0.15,Blue,Legendary Creature — Elf Noble,3,(LTR),{2}{U},a62a5e55-fa1b-4c70-9293-740dd513d52e
2x,Novice Occultist,$0.15,Black,Creature — Human Wizard,2,(MID),{1}{B},a541ac79-a969-42b4-b989-f6e37572ec90
2x,Lash of the Balrog,$0.14,Black,Sorcery,1,(LTR),{B},a3bb0051-3ba3-4e22-9098-42ee0d9b645c
2x,Reckless Stormseeker // Storm-Charged Slasher,$1.67,Red,Creature — Human Werewolf,3,(MID),{2}{R},a33af331-0746-4adf-935a-bf61ff9d8d4b
2x,Snarling Warg,$0.10,Black,Creature — Wolf,4,(LTR),{3}{B},a1ad561c-ccb4-480a-88a4-0555d0ef245e
2x,Riftburst Hellion,$0.25,Red/Green,Creature — Hellion,7,(MKM),{5}{R}{G},9fae9044-a859-434d-8dc6-4f9d455ca5e1
2x,Dragon's Disciple,$0.19,White,Creature — Human Monk,2,(AFR),{1}{W},9e5e6b78-3e99-49f5-9eaf-bbb2e9789fbe
2x,"Lier, Disciple of the Drowned",$4.00,Blue,Legendary Creature — Human Wizard,5,(MID),{3}{U}{U},9d67b9ec-7f53-4df6-b2cc-afd7efda6bb4
2x,Duel for Dominance,$0.15,Green,Instant,2,(MID),{1}{G},9bb0a0c8-158e-4a6f-976e-3de9f57c3463
2x,Fire of Orthanc,$0.10,Red,Sorcery,4,(LTR),{3}{R},9b5871c5-bb94-4803-93ba-cd1a630b00d6
2x,Goblin Morningstar,$0.24,Red,Artifact — Equipment,2,(AFR),{1}{R},998f3785-c806-4848-adcb-d89ea51159c5
2x,Blue Dragon,$0.20,Blue,Creature — Dragon,7,(AFR),{5}{U}{U},98dea71b-2778-4374-8ea2-7fa82f0f6110
2x,Cathar Commando,$0.49,White,Creature — Human Soldier,2,(MID),{1}{W},98cbc1c2-b76e-4da3-aa43-00e10b2ce532
2x,Abandon the Post,$0.15,Red,Sorcery,2,(MID),{1}{R},983da138-f0f5-46c4-90c2-d3c34cc37d1f
2x,Battle Cry Goblin,$0.73,Red,Creature — Goblin,2,(AFR),{1}{R},9766a427-2bb3-4028-a502-d1194cdc93aa
2x,Collector's Vault,$0.50,,Artifact,2,(WOE),{2},967a4f27-8cd6-437d-8c05-8aedbc7ddc4b
2x,Electric Revelation,$0.14,Red,Instant,3,(J22),{2}{R},9622e628-3a8f-44ea-aec2-60c8fbd1baae
2x,Banishing Light,$0.20,White,Enchantment,3,(LTC),{2}{W},961b1464-928e-41b9-bc73-c47df94e0e8e
2x,Displacer Beast,$0.20,Blue,Creature — Cat Beast,3,(AFR),{2}{U},95d5c36c-bcc8-459c-9f4b-b265ccdb1f06
2x,Harvesttide Sentry,$0.11,Green,Creature — Human Warrior,2,(MID),{1}{G},9543cf53-8cf5-49d0-9c60-8b11e21da953
2x,Shower of Arrows,$0.14,Green,Instant,3,(LTR),{2}{G},92cd3884-18d1-4200-b28e-a52349ef37aa
2x,Shipwreck Sifters,$0.11,Blue,Creature — Spirit,2,(MID),{1}{U},8f295833-a83e-4b18-8007-c7f5d78e5624
2x,Scion of Stygia,$0.15,Blue,Creature — Tiefling Shaman,3,(AFR),{2}{U},8f0abdb4-4898-4818-b7e2-24a90f15e49d
2x,Utopia Sprawl,$0.50,Green,Enchantment — Aura,1,(WOT),{G},8ee63809-729b-48b1-a06d-3edc2a26208f
2x,Gandalf's Sanction,$0.19,Blue/Red,Sorcery,3,(LTR),{1}{U}{R},8ebf2a25-9bee-4146-af83-f22aab6db2a8
2x,Hotshot Investigators,$0.25,Blue,Creature — Vedalken Detective,6,(MKM),{5}{U},8dc3b23b-04d6-4ac0-b698-596ea90b7781
2x,Tavern Ruffian // Tavern Smasher,$0.24,Red,Creature — Human Warrior Werewolf,4,(MID),{3}{R},8ca358b8-dee7-462d-aee1-f2e271d38370
2x,Gift of Strands,$0.15,Green,Enchantment — Aura,4,(LTR),{3}{G},8c54ee0c-1432-4f20-9a92-2cdfcbab30ac
2x,Fiery Inscription,$0.25,Red,Enchantment,3,(LTR),{2}{R},8c321159-43e5-40fc-9f0c-4ecc4f6cfd20
2x,Hard-Hitting Question,$0.28,Green,Sorcery,1,(MKM),{G},8ad807c2-14a7-4464-bf57-c323fb3c0bd0
2x,Kessig Naturalist // Lord of the Ulvenwald,$0.26,Red/Green,Creature — Human Werewolf,2,(MID),{R}{G},8ab5f2e6-0e0a-4f7d-a959-3d07948ff317
2x,Mountain,$0.35,Land,Basic Land — Mountain,0,(WOE),,8822db23-34dc-452a-92bc-a3ceee4db375
2x,Howling Galefang,$0.15,Green,Creature — Beast,4,(WOE),{2}{G}{G},86311523-d0eb-4db3-b586-8349de9c2d37
2x,Push // Pull,$0.25,White/Black/Red,Sorcery // Sorcery,2,(MKM),{1}{W/B} // {4}{B/R}{B/R},85835473-b9b6-4f4a-bb93-fef93d5ec57b
2x,Ashiok's Reaper,$0.19,Black,Creature — Nightmare,4,(WOE),{3}{B},83957fe0-6500-420c-9b7a-2448a1c1d3b3
2x,Stormrider Spirit,$0.10,Blue,Creature — Spirit,5,(MID),{4}{U},81a95edb-9f5b-4e42-8b27-0b3d978dcefe
2x,Treason of Isengard,$0.24,Blue,Sorcery,3,(LTR),{2}{U},8072a918-3f1a-42e1-8971-fd20ce6710de
2x,Prince Imrahil the Fair,$0.15,White/Blue,Legendary Creature — Human Noble,2,(LTR),{W}{U},7d486def-7c3f-41e9-bb28-4582450a7b9e
2x,Red Dragon,$0.25,Red,Creature — Dragon,6,(AFR),{4}{R}{R},7cf57369-b8e2-481c-89d4-c83c617499a3
2x,Bombadil's Song,$0.24,Green,Instant,2,(LTR),{1}{G},75c4d0ee-5ee9-46b1-8c97-d8c45ff70b03
2x,Elven Farsight,$0.15,Green,Sorcery,1,(LTR),{G},73d135b2-d2b8-499c-84d9-824370c19ccc
2x,Drownyard Amalgam,$0.14,Blue,Creature — Zombie Horror,5,(MID),{4}{U},71b05d44-d987-45e1-bbd9-842dbe58c2b5
2x,Two-Headed Hunter // Twice the Rage,$0.15,Red,Creature — Giant // Instant — Adventure,5,(WOE),{4}{R} // {1}{R},70c12e75-7e65-4706-b976-e47835910928
2x,Arwen's Gift,$0.24,Blue,Sorcery,4,(LTR),{3}{U},70466aa9-b81f-429e-9804-5d354f9fb86e
2x,Crystal Grotto,$0.16,Land,Land,0,(WOE),,6f6f9d3d-600d-43f3-a915-612e5d53aaa1
2x,Check for Traps,$0.18,Black,Sorcery,2,(AFR),{1}{B},6f58ea8a-30ac-45b0-a701-8b8d8262cfcf
2x,Moment of Valor,$0.14,White,Instant,3,(WOE),{2}{W},6f257fd6-24a4-4cc1-89e0-99cf5d821e3a
2x,Timberland Guide,$0.20,Green,Creature — Human Scout,2,(DBL),{1}{G},6ea8c3ff-fd8a-42e9-9221-8e64842afafa
2x,Return to Nature,$0.24,Green,Instant,2,(MID),{1}{G},6e25c252-4177-4193-914c-b6933d9c0d7d
2x,Glorious Gale,$0.15,Blue,Instant,2,(LTR),{1}{U},6e1057de-5710-415c-9a51-1d8bd86021a3
2x,"Frodo, Sauron's Bane",$0.30,White,Legendary Creature — Halfling Citizen,1,(LTR),{W},6d08e637-c2b3-4b38-9b07-5bba1f13efc3
2x,Bubble Smuggler,$0.25,Blue,Creature — Octopus Fish,2,(MKM),{1}{U},6b863ee0-d9f3-4b1e-993d-5212731d9353
2x,Duelcraft Trainer,$0.15,White,Creature — Human Soldier,4,(MID),{3}{W},6b75855c-88dc-4491-8045-080debfeb7b5
2x,Rakish Scoundrel,$0.25,Black/Green,Creature — Elf Rogue,4,(MKM),{2}{B}{G},6aaa8c6b-7ef7-45db-99c9-4a6e7f177b94
2x,Vampiric Rites,$0.25,Black,Enchantment,1,(WOT),{B},6854dc06-4845-4201-958b-2fdad3f7b64a
2x,"Denethor, Ruling Steward",$0.25,White/Black,Legendary Creature — Human Noble,3,(LTR),{1}{W}{B},6839fd15-5656-4006-a11b-d0e1cbea05b3
2x,Triskaidekaphile,$1.60,Blue,Creature — Human Wizard,2,(MID),{1}{U},6750e203-1215-4203-b5b8-3f1b18940839
2x,Haunt of the Dead Marshes,$0.14,Black,Creature — Nightmare Elf,1,(LTR),{B},673c6c12-2513-4d1b-acf0-6a1f741d49dd
2x,Orcish Medicine,$0.16,Black,Instant,2,(LTR),{1}{B},66fae9ab-2302-4dea-a4e8-701938a0ef09
2x,Burning Hands,$0.21,Red,Instant,2,(AFR),{1}{R},66e2d723-3fa0-4411-8f98-e4e6b3a5e6df
2x,Belligerent of the Ball,$0.14,Red,Creature — Ogre Warrior,3,(WOE),{2}{R},6658398a-46a5-4f41-9b1b-4a47f2822cf8
2x,Vitu-Ghazi Inspector,$0.25,Green,Creature — Elf Detective,2,(MKM),{1}{G},664d15d7-2724-4a9b-b5a7-8042d4b7da7b
2x,Council's Deliberation,$0.15,Blue,Instant,2,(LTR),{1}{U},651503a2-5d1e-408a-9cdc-0cee05ab3ef0
2x,Gollum's Bite,$0.21,Black,Instant,1,(LTR),{B},65131fa4-b7cd-4ac3-8b43-d3428aefddc6
2x,Frolicking Familiar // Blow Off Steam,$0.20,Blue,Creature — Otter Wizard // Instant — Adventure,3,(WOE),{2}{U} // {R},64c432d5-4f5b-44ac-9d61-891e78460d58
2x,Hunter's Mark,$0.19,Green,Instant,4,(AFR),{3}{G},62023c58-8b94-4a81-a259-a047e1edd342
2x,Axebane Ferox,$0.50,Green,Creature — Beast,4,(MKM),{2}{G}{G},610a0de4-a4f7-446b-8477-00c917cb4789
2x,Island,$0.25,Land,Basic Land — Island,0,(MID),,60e6b919-e7c0-4844-a65c-d8b83b3e5287
2x,Rimefur Reindeer,$0.10,White,Creature — Elk,4,(WOE),{3}{W},60acc0b7-6842-44aa-a7cc-c5d315d90287
2x,Galvanic Giant // Storm Reading,$0.15,Blue,Creature — Giant Wizard // Instant — Adventure,4,(WOE),{3}{U} // {5}{U}{U},60976109-30ad-4f12-99eb-c5ef560fcf1b
2x,Immolation,$0.14,Red,Enchantment — Aura,1,(MID),{R},606b1148-4aa6-4d78-bedd-e31573282921
2x,Foray of Orcs,$0.15,Red,Sorcery,4,(LTR),{3}{R},5fea0c66-c776-4dc7-a235-f3822521cacd
2x,Warbeast of Gorgoroth,$0.10,Red,Creature — Beast,5,(LTR),{4}{R},5eeecb9e-fbde-429b-b3da-18a4dbadf6de
2x,Shadow Summoning,$0.24,White/Black,Sorcery,2,(LTR),{W}{B},5deefe63-0d42-4983-9871-3b58e8547d07
2x,Covert Cutpurse // Covetous Geist,$0.15,Black,Creature — Human Rogue,3,(MID),{2}{B},5db99746-8aee-42b8-acb0-ed69933d0ff8
2x,Flip the Switch,$0.15,Blue,Instant,3,(MID),{2}{U},5cdbe4e3-f030-46fa-ae84-edf261b61706
2x,Crossroads Candleguide,$0.15,,Artifact Creature — Scarecrow,4,(MID),{4},5cad1524-9e75-47e0-b817-47110634802a
2x,Coerced to Kill,$0.25,Blue/Black,Enchantment — Aura,5,(MKM),{3}{U}{B},5c9c1153-93d6-4250-bc42-2d9fd3042e55
2x,Eriette's Tempting Apple,$0.20,,Legendary Artifact — Food,4,(WOE),{4},5b61711f-8982-4ff0-86ba-01e0125cd705
2x,Dunedain Rangers,$0.24,Green,Creature — Human Ranger,4,(LTR),{3}{G},5ab457e9-17a0-4a8b-b990-ada4ed631cbe
2x,Gavony Trapper,$0.12,White,Creature — Human Soldier,1,(MID),{W},5a1309ea-4411-4116-841f-5aef8611400c
2x,Spiked Pit Trap,$0.15,,Artifact,1,(AFR),{1},59fbf45a-23b4-4d06-abd9-4cc3895cb29d
2x,You Meet in a Tavern,$0.20,Green,Sorcery,4,(AFR),{2}{G}{G},593aa59a-4025-4df8-9f27-188fc7712fde
2x,Devouring Sugarmaw // Have for Dinner,$0.25,Black,Creature — Horror // Instant — Adventure,4,(WOE),{2}{B}{B} // {1}{W},58c7f52e-a97d-4475-ae00-3149991e723e
2x,Disdainful Stroke,$0.15,Blue,Instant,2,(WOE),{1}{U},588c6217-c460-417e-98bf-de5475780baf
2x,Join the Dance,$0.20,White/Green,Sorcery,2,(MID),{G}{W},56b30a99-601b-40b9-b012-30fa4be5fd3c
2x,"Landroval, Horizon Witness",$0.11,White,Legendary Creature — Bird Noble,5,(LTR),{4}{W},5684483b-9a6a-499b-a5e1-e2815ee03cdb
2x,Tempest Hart // Scan the Clouds,$0.15,Green,Creature — Elemental Elk // Instant — Adventure,4,(WOE),{3}{G} // {1}{U},559bacc8-facc-4d93-90b5-8ac21d3246f5
2x,"Gimli, Counter of Kills",$0.22,Red,Legendary Creature — Dwarf Warrior,4,(LTR),{3}{R},556ab0cc-2942-4564-b6b8-a6d24f728342
2x,"Mauhur, Uruk-hai Captain",$0.25,Black/Red,Legendary Creature — Orc Soldier,2,(LTR),{B}{R},553b819e-7a13-4d60-9033-d8f5d8fe9845
2x,Erebor Flamesmith,$0.25,Red,Creature — Dwarf Artificer,2,(LTR),{1}{R},552730c5-e3a6-468f-91b2-82c272dda400
2x,Ambitious Farmhand // Seasoned Cathar,$0.30,White,Creature — Human Peasant,2,(MID),{1}{W},54d4e7c3-294d-4900-8b70-faafda17cc33
2x,Bruenor Battlehammer,$0.35,White/Red,Legendary Creature — Dwarf Warrior,4,(AFR),{2}{R}{W},53e1eb00-412e-4c25-bc7b-6d074330fd97
2x,"Bilbo, Retired Burglar",$0.15,Blue/Red,Legendary Creature — Halfling Rogue,3,(LTR),{1}{U}{R},527df93e-cc2b-4216-909a-4ada1abcbfd3
2x,Sanitation Automaton,$0.25,,Artifact Creature — Construct,2,(MKM),{2},52608ba4-c47d-44e4-b624-dee2a3a42ae2
2x,Loathsome Troll,$0.15,Green,Creature — Troll,5,(AFR),{3}{G}{G},50ac66df-760d-495d-a067-13114071b7b8
2x,Faithful Mending,$0.51,White/Blue,Instant,2,(MID),{W}{U},50752ca9-ea85-4c4b-9bf5-4f8759a7dcec
2x,Rootrider Faun,$0.14,Green,Creature — Satyr Scout,2,(WOE),{1}{G},4e87db5a-1a70-42df-83a2-c0f71fe8533a
2x,Lothlorien Lookout,$0.13,Green,Creature — Elf Scout,2,(LTR),{1}{G},4e3639c1-ebc3-4a0b-ab93-549e45aff0f7
2x,Grey Havens Navigator,$0.12,Blue,Creature — Elf Pilot,3,(LTR),{2}{U},4dd89994-bdff-47ca-a65d-10afcc7e773e
2x,Imodane's Recruiter // Train Troops,$0.25,Red,Creature — Human Knight // Sorcery — Adventure,3,(WOE),{2}{R} // {4}{W},4dbaa855-3f8e-42e6-8ec8-5ffbc5c8acf0
2x,Geistflame Reservoir,$0.25,Red,Artifact,3,(MID),{2}{R},4b247ce7-9c58-404f-bed1-84abb37575ab
2x,Bulette,$0.15,Green,Creature — Beast,4,(AFR),{3}{G},4a76c993-7cc5-428f-bfbc-7747c6a566d0
2x,Eliminate the Impossible,$0.25,Blue,Instant,2,(MKM),{1}{U},486f1cc2-c162-448e-91a9-577d7d796584
2x,Vampire Interloper,$0.15,Black,Creature — Vampire Scout,2,(ISD),{1}{B},48105c2e-ee36-4117-b56b-3440298da995
2x,Tiger-Tribe Hunter,$0.16,Red,Creature — Human Barbarian,5,(AFR),{3}{R}{R},46e0c229-aa31-4c79-bafe-28a8d8e64c61
2x,Dissipate,$0.25,Blue,Instant,3,(MID),{1}{U}{U},4689b3f2-e4b7-448e-b3d4-ab33194aafb2
2x,Birthday Escape,$0.20,Blue,Sorcery,1,(LTR),{U},42db2313-b13d-4292-bef2-bf86f989d32f
